date,cumulative_unique_users,platform,topic
2024-04-20,2926,fb,apple
2024-04-21,2927,fb,apple
2024-04-22,2934,fb,apple
2024-04-23,2945,fb,apple
2024-04-24,2961,fb,apple
2024-04-25,2981,fb,apple
2024-04-26,3001,fb,apple
2024-04-27,3012,fb,apple
2024-04-28,3014,fb,apple
2024-01-28,8,ig,apple
2024-01-29,18,ig,apple
2024-01-30,34,ig,apple
2024-01-31,53,ig,apple
2024-02-01,85,ig,apple
2024-02-02,182,ig,apple
2024-02-03,272,ig,apple
2024-02-04,366,ig,apple
2024-02-05,493,ig,apple
2024-02-06,629,ig,apple
2024-02-07,717,ig,apple
2024-02-08,783,ig,apple
2024-02-09,832,ig,apple
2024-02-10,858,ig,apple
2024-02-11,879,ig,apple
2024-02-12,901,ig,apple
2024-02-13,933,ig,apple
2024-02-14,969,ig,apple
2024-02-15,1005,ig,apple
2024-02-16,1030,ig,apple
2024-02-17,1048,ig,apple
2024-02-18,1065,ig,apple
2024-02-19,1089,ig,apple
2024-02-20,1118,ig,apple
2024-02-21,1140,ig,apple
2024-02-22,1154,ig,apple
2024-02-23,1167,ig,apple
2024-02-24,1185,ig,apple
2024-02-25,1195,ig,apple
2024-02-26,1205,ig,apple
2024-02-27,1218,ig,apple
2024-02-28,1236,ig,apple
2024-02-29,1249,ig,apple
2024-03-01,1264,ig,apple
2024-03-02,1270,ig,apple
2024-03-03,1280,ig,apple
2024-03-04,1284,ig,apple
2024-03-05,1293,ig,apple
2024-03-06,1303,ig,apple
2024-03-07,1314,ig,apple
2024-03-08,1328,ig,apple
2024-03-09,1330,ig,apple
2024-03-10,1337,ig,apple
2024-03-11,1345,ig,apple
2024-03-12,1359,ig,apple
2024-03-13,1381,ig,apple
2024-03-14,1390,ig,apple
2024-03-15,1402,ig,apple
2024-03-16,1405,ig,apple
2024-03-17,1409,ig,apple
2024-03-18,1418,ig,apple
2024-03-19,1432,ig,apple
2024-03-20,1441,ig,apple
2024-03-21,1451,ig,apple
2024-03-22,1455,ig,apple
2024-03-23,1462,ig,apple
2024-03-24,1471,ig,apple
2024-03-25,1478,ig,apple
2024-03-26,1482,ig,apple
2024-03-27,1493,ig,apple
2024-03-28,1500,ig,apple
2024-03-29,1507,ig,apple
2024-03-30,1512,ig,apple
2024-03-31,1515,ig,apple
2024-04-01,1521,ig,apple
2024-04-02,1526,ig,apple
2024-04-03,1536,ig,apple
2024-04-04,1546,ig,apple
2024-04-05,1556,ig,apple
2024-04-06,1561,ig,apple
2024-04-07,1565,ig,apple
2024-04-08,1570,ig,apple
2024-04-09,1577,ig,apple
2024-04-10,1585,ig,apple
2024-04-11,1595,ig,apple
2024-04-12,1600,ig,apple
2024-04-13,1605,ig,apple
2024-04-14,1607,ig,apple
2024-04-15,1614,ig,apple
2024-04-16,1623,ig,apple
2024-04-17,1623,ig,apple
2024-04-18,1632,ig,apple
2024-04-19,1639,ig,apple
2024-04-20,1640,ig,apple
2024-04-21,1642,ig,apple
2024-04-22,1647,ig,apple
2024-04-23,1652,ig,apple
2024-04-24,1667,ig,apple
2024-04-25,1681,ig,apple
2024-04-26,1691,ig,apple
2024-04-27,1694,ig,apple
2024-04-28,1700,ig,apple
